事件编号,事件类型,事件描述,受影响路径数,最佳seed,ALNS运行时间/s,初始子问题目标,最优子问题目标,子问题目标改善率/%,事件初始方案总成本,事件初始方案总距离,重优化节约成本,重优化距离变化,车辆数,总距离,基准总距离,总距离变化,固定成本,能耗成本,碳排成本,等待成本,迟到成本,容量惩罚,总成本,基准总成本,总成本变化,调整路径数,改派客户数,弧段扰动数,鲁棒均值成本,鲁棒成本标准差,鲁棒95分位成本,风险成本
E1,订单取消,事件时刻后，任务 92_1 被取消，冻结已完成部分后对受影响路径进行重优化。,6,7,35.16484785079956,4774.495201755524,2674.605972223888,43.98138736760134,110425.39549171239,18632.957803162575,3120.8892295316327,-384.53588919435424,141,18248.42191396822,18632.957803162575,-384.53588919435424,54800.0,30645.61663443423,6625.39764645348,14514.414538504767,719.0774427882756,0.0,107304.50626218076,110423.10699669704,-3118.6007345162798,6,7,25,107353.27096929406,56.2400713459423,107439.91561540833,86.64464611427684
E2,新增订单,事件时刻后，客户 52 产生新增任务 NEW_52，采用低扰动滚动重优化插入。,6,66,35.177820682525635,5485.438075030004,3687.0078860857625,32.78553443399149,110691.5304235414,18707.78805293188,2504.430188944214,-491.1725170718055,141,18216.615535860074,18632.957803162575,-416.34226730250157,55200.0,30792.8188899343,6658.849384202865,14800.75752613183,734.6744343281725,0.0,108187.10023459718,110423.10699669704,-2236.0067620998598,4,6,20,108240.0926344955,42.52138035310326,108309.09277033347,69.00013583798136
E3,配送地址变更,任务 36_2 的地址由客户 36 变更为客户 64，转换为新任务 ADDR_36_TO_64。,6,7,21.977077960968018,4890.49672321932,2771.836084751084,43.32199280308612,110370.74970299198,18619.1473293574,2970.660638468238,-402.087985483955,141,18217.059343873447,18632.957803162575,-415.89845928912837,54800.0,30565.625554760813,6607.776060367945,14702.199788845064,724.4876605499151,0.0,107400.08906452374,110423.10699669704,-3023.0179321733012,6,4,18,107450.79390065979,43.84364268097734,107526.06447913974,75.27057847994729
E4,时间窗收紧,任务 7_1 与 50_4 的服务时间窗临时收紧，触发滚动重优化。,6,66,35.0225875377655,5677.5016732516715,3467.5858781704624,38.924088838102016,110523.59904149467,18632.957803162575,3484.9157950812078,-501.5840377550303,141,18131.373765407545,18632.957803162575,-501.5840377550303,54800.0,30393.614701103583,6570.355223472779,14468.44505739779,806.2682644393101,0.0,107038.68324641346,110423.10699669704,-3384.423750283575,6,9,30,107098.79812082855,55.061231430725535,107180.60418517802,81.80606434946822
