seed,运行状态,错误信息,是否有效,初始车辆数,车辆数,总成本,固定成本,能耗成本,碳排成本,碳排放量,等待成本,迟到成本,总距离,覆盖正确,车型数量可行,运行时间,车型使用,日志文件
1,success,,True,160,140,122466.73136165345,56000.0,38888.86680554297,8413.477522739879,12943.811573445966,15468.878559176836,3695.508474193768,19305.256471110093,True,True,27.093472957611084,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 5, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_1.log
7,success,,True,160,142,120577.75461869857,56800.0,37153.088350233906,8034.795619173977,12361.224029498426,15782.283676305698,2807.586972984955,18651.74131578106,True,True,22.940491676330566,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 7, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_7.log
21,success,,True,161,141,121196.24161989991,56400.0,38061.285414444035,8233.117302983806,12666.33431228278,15697.045742699322,2804.7931597727966,18968.835475096177,True,True,20.741933345794678,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 6, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_21.log
42,success,,True,160,142,120308.53935695672,56800.0,36549.520454964964,7903.78555976952,12159.670091953107,15653.10319940423,3402.130142818011,18331.007583696566,True,True,20.324601411819458,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 7, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_42.log
66,success,,True,160,141,120037.28429182689,56400.0,36948.185072315224,7990.012605226502,12292.327084963848,15975.282242879357,2723.8043714057935,18632.957803162575,True,True,21.61513900756836,"{'fuel_3000': 60, 'fuel_1500': 49, 'fuel_1250': 7, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_66.log
88,success,,True,161,141,120591.49687924136,56400.0,37692.49856111401,8150.120328510101,12538.64665924631,15426.554710746115,2922.3232788711252,18968.97675651403,True,True,19.978222131729126,"{'fuel_3000': 60, 'fuel_1500': 48, 'fuel_1250': 8, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_88.log
100,success,,True,161,141,121029.03081623872,56400.0,38120.0956580261,8242.692166607396,12681.064871703686,15237.421334682766,3028.8216569224555,19194.712771367824,True,True,19.344136714935303,"{'fuel_3000': 60, 'fuel_1500': 49, 'fuel_1250': 7, 'ev_3000': 10, 'ev_1250': 15}",p2_logs\seed_100.log
