seed,运行状态,错误信息,是否有效,初始车辆数,车辆数,总成本,固定成本,能耗成本,碳排成本,等待成本,迟到成本,总距离,覆盖正确,车型数量可行,运行时间,车型使用
1,success,,True,160,140,116590.44447126948,56000.0,36871.1767148908,7977.596208693913,15152.747275678632,588.9242720061148,18293.515643419654,True,True,39.87352800369263,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 5, 'ev_3000': 10, 'ev_1250': 15}"
7,success,,True,160,141,116013.16428123433,56400.0,36399.50741483794,7873.35301840823,15073.726443346142,266.5774046419968,18168.31586666472,True,True,39.00480580329895,"{'fuel_3000': 60, 'fuel_1500': 49, 'fuel_1250': 7, 'ev_3000': 10, 'ev_1250': 15}"
21,success,,True,161,141,116405.3936290564,56400.0,36547.689076540635,7902.265706548574,15020.026479212653,535.412366754482,18365.0913591494,True,True,39.21672177314758,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 6, 'ev_3000': 10, 'ev_1250': 15}"
42,success,,True,160,140,116279.76300529017,56000.0,37405.23863636126,8087.361257288914,14664.803016853162,122.36009478685182,18873.909152467524,True,True,22.42087697982788,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 5, 'ev_3000': 10, 'ev_1250': 15}"
66,success,,True,160,140,117361.3760662041,56000.0,37886.864405423104,8194.400056974673,14894.642511805348,385.46909200090147,18917.960217815616,True,True,17.659464359283447,"{'fuel_3000': 60, 'fuel_1500': 50, 'fuel_1250': 5, 'ev_3000': 10, 'ev_1250': 15}"
88,success,,True,161,142,117756.70690156292,56800.0,37093.06814401185,8026.355403197153,15526.689792504629,310.5935618492999,18360.553631468865,True,True,18.594332933425903,"{'fuel_3000': 60, 'fuel_1500': 49, 'fuel_1250': 8, 'ev_3000': 10, 'ev_1250': 15}"
100,success,,True,161,140,115512.58606188055,56000.0,36526.074414190116,7895.171155519635,14942.764813246415,148.57567892428847,18537.97486555985,True,True,16.16095995903015,"{'fuel_3000': 60, 'fuel_1500': 49, 'fuel_1250': 6, 'ev_3000': 10, 'ev_1250': 15}"
