路径编号,车型,节点序列,是否可行,总成本,固定成本,能耗成本,碳排成本,等待成本,迟到成本,总距离,违规信息,到达时刻,服务开始时刻,离开时刻
66,fuel_1250,0 -> 61_1 -> 0,True,774.514620539672,400.0,267.66128957321774,58.22952009894095,48.623810867513306,0.0,113.846992569318,[],"[8.0, 9.852142789957668, 13.96142549037961]","[8.0, 12.283333333333333, 13.96142549037961]","[8.0, 12.616666666666667, 13.96142549037961]"
67,fuel_3000,0 -> 8_6 -> 74_2 -> 0,True,777.8024682533447,400.0,277.839367334359,60.443753559842065,39.51934735914367,0.0,122.0725898638302,[],"[8.0, 9.420026189368091, 12.604006442674725, 14.707188881016803]","[8.0, 10.816666666666666, 13.183333333333334, 14.707188881016803]","[8.0, 11.15, 13.516666666666667, 14.707188881016803]"
68,fuel_3000,0 -> 85_1 -> 11_1 -> 75_1 -> 0,True,941.8589692583294,400.0,415.89587563816656,90.47784716330706,35.48524645685578,0.0,182.2560315590837,[],"[8.0, 9.446942848311886, 10.521611619625913, 14.00718320921941, 16.543676343959863]","[8.0, 9.85, 11.483333333333333, 14.416666666666666, 16.543676343959863]","[8.0, 10.183333333333334, 11.816666666666666, 14.75, 16.543676343959863]"
69,fuel_3000,0 -> 61_2 -> 43_4 -> 0,True,865.2223427672524,400.0,284.6198111726857,61.918834216417835,118.68369737814885,0.0,120.3014477753282,[],"[8.0, 9.852142789957668, 13.380339007801556, 18.30673835289764]","[8.0, 12.283333333333333, 16.883333333333333, 18.30673835289764]","[8.0, 12.616666666666667, 17.216666666666665, 18.30673835289764]"
70,fuel_3000,0 -> 51_2 -> 40_2 -> 0,True,920.013357299588,400.0,295.5839887767547,64.3040831300074,160.125285392826,0.0,128.896740094502,[],"[8.0, 9.543735730358701, 18.860282442691258, 20.731586276996207]","[8.0, 17.55, 18.860282442691258, 20.731586276996207]","[8.0, 17.883333333333333, 19.19361577602459, 20.731586276996207]"
71,fuel_3000,0 -> 42_5 -> 35_2 -> 0,True,936.0421678710472,400.0,419.4397950200097,91.24882426351867,5.582332790678137,19.771215796840647,191.5956697846754,[],"[8.0, 9.954216693799426, 11.26209098260348, 14.639143293482546]","[8.0, 10.233333333333333, 11.26209098260348, 14.639143293482546]","[8.0, 10.566666666666666, 11.595424315936814, 14.639143293482546]"
72,fuel_3000,0 -> 45_3 -> 25_2 -> 0,True,841.2456719369118,400.0,263.38695773376,57.29964229646866,120.55907190668307,0.0,110.80089200385251,[],"[8.0, 9.588713071332513, 16.930336264371398, 18.216809580767357]","[8.0, 15.616666666666667, 16.930336264371398, 18.216809580767357]","[8.0, 15.950000000000001, 17.26366959770473, 18.216809580767357]"
73,fuel_3000,0 -> 60_4 -> 60_2 -> 0,True,536.5422620910373,400.0,91.96878907419207,20.00774359418905,24.56572942265616,0.0,36.748182959378,[],"[8.0, 9.155046862200525, 10.716666666666667, 11.749397089764186]","[8.0, 10.383333333333333, 10.716666666666667, 11.749397089764186]","[8.0, 10.716666666666667, 11.05, 11.749397089764186]"
74,fuel_3000,0 -> 83_1 -> 12_1 -> 77_1 -> 0,True,1138.5595838618478,400.0,493.5351894371338,107.36822376775912,137.656170656955,0.0,228.43190887601196,[],"[8.0, 8.925862207074527, 14.938585063452747, 16.924662593411057, 22.552567627416778]","[8.0, 13.8, 14.938585063452747, 18.933333333333334, 22.552567627416778]","[8.0, 14.133333333333335, 15.27191839678608, 19.266666666666666, 22.552567627416778]"
75,fuel_3000,0 -> 73_1 -> 73_2 -> 0,True,878.861812163915,400.0,341.5302025544107,74.29964873048024,63.03196087902407,0.0,145.4268584882548,[],"[8.0, 10.215068622715464, 13.700000000000001, 15.543976343996068]","[8.0, 13.366666666666667, 13.700000000000001, 15.543976343996068]","[8.0, 13.700000000000001, 14.033333333333335, 15.543976343996068]"
76,fuel_3000,0 -> 60_6 -> 60_3 -> 0,True,536.5422620910373,400.0,91.96878907419207,20.00774359418905,24.56572942265616,0.0,36.748182959378,[],"[8.0, 9.155046862200525, 10.716666666666667, 11.749397089764186]","[8.0, 10.383333333333333, 10.716666666666667, 11.749397089764186]","[8.0, 10.716666666666667, 11.05, 11.749397089764186]"
77,fuel_3000,0 -> 64_6 -> 58_2 -> 0,True,810.1050227440574,400.0,263.71994739471245,57.37208395654616,89.01299139279871,0.0,112.7182170066065,[],"[8.0, 9.699350430360065, 14.574183909174803, 16.528412567072362]","[8.0, 14.15, 14.574183909174803, 16.528412567072362]","[8.0, 14.483333333333334, 14.907517242508137, 16.528412567072362]"
78,fuel_3000,0 -> 79_1 -> 7_4 -> 0,True,911.122678649428,400.0,408.79057781998455,88.93209475819651,13.400006071247077,0.0,173.6333907595852,[],"[8.0, 10.169104615481505, 12.01333302977098, 14.1414899409493]","[8.0, 10.169104615481505, 12.683333333333334, 14.1414899409493]","[8.0, 10.502437948814839, 13.016666666666667, 14.1414899409493]"
